,Adjusted
11/12/2016,36
18/12/2016,36
25/12/2016,32
01/01/2017,35
08/01/2017,38
15/01/2017,37
22/01/2017,40
29/01/2017,42
05/02/2017,51
12/02/2017,67
19/02/2017,41
26/02/2017,45
05/03/2017,49
12/03/2017,47
19/03/2017,53
26/03/2017,48
02/04/2017,49
09/04/2017,53
16/04/2017,51
23/04/2017,51
30/04/2017,54
07/05/2017,74
14/05/2017,56
21/05/2017,49
28/05/2017,47
04/06/2017,46
11/06/2017,46
18/06/2017,43
25/06/2017,42
02/07/2017,44
09/07/2017,44
16/07/2017,42
23/07/2017,41
30/07/2017,41
06/08/2017,41
13/08/2017,40
20/08/2017,40
27/08/2017,39
03/09/2017,40
10/09/2017,41
17/09/2017,40
24/09/2017,39
01/10/2017,40
08/10/2017,39
15/10/2017,41
22/10/2017,38
29/10/2017,35
05/11/2017,38
12/11/2017,37
19/11/2017,36
26/11/2017,35
03/12/2017,34
10/12/2017,36
17/12/2017,36
24/12/2017,31
31/12/2017,35
07/01/2018,38
14/01/2018,37
21/01/2018,39
28/01/2018,41
04/02/2018,50
11/02/2018,68
18/02/2018,43
25/02/2018,43
04/03/2018,52
11/03/2018,45
18/03/2018,42
25/03/2018,44
01/04/2018,45
08/04/2018,48
15/04/2018,47
22/04/2018,52
29/04/2018,56
06/05/2018,78
13/05/2018,58
20/05/2018,52
27/05/2018,48
03/06/2018,47
10/06/2018,44
17/06/2018,41
24/06/2018,41
01/07/2018,40
08/07/2018,41
15/07/2018,42
22/07/2018,42
29/07/2018,42
05/08/2018,42
12/08/2018,41
19/08/2018,40
26/08/2018,39
02/09/2018,40
09/09/2018,39
16/09/2018,40
23/09/2018,38
30/09/2018,38
07/10/2018,38
14/10/2018,37
21/10/2018,35
28/10/2018,36
04/11/2018,37
11/11/2018,36
18/11/2018,33
25/11/2018,35
02/12/2018,35
09/12/2018,34
16/12/2018,35
23/12/2018,31
30/12/2018,33
06/01/2019,36
13/01/2019,36
20/01/2019,37
27/01/2019,41
03/02/2019,46
10/02/2019,71
17/02/2019,40
24/02/2019,39
03/03/2019,44
10/03/2019,44
17/03/2019,45
24/03/2019,52
31/03/2019,46
07/04/2019,47
14/04/2019,48
21/04/2019,52
28/04/2019,51
05/05/2019,70
12/05/2019,53
19/05/2019,47
26/05/2019,45
02/06/2019,45
09/06/2019,42
16/06/2019,43
23/06/2019,44
30/06/2019,41
07/07/2019,41
14/07/2019,40
21/07/2019,41
28/07/2019,39
04/08/2019,40
11/08/2019,40
18/08/2019,40
25/08/2019,38
01/09/2019,37
08/09/2019,38
15/09/2019,39
22/09/2019,38
29/09/2019,38
06/10/2019,36
13/10/2019,36
20/10/2019,36
27/10/2019,35
03/11/2019,36
10/11/2019,34
17/11/2019,34
24/11/2019,30
01/12/2019,32
08/12/2019,33
15/12/2019,33
22/12/2019,29
29/12/2019,30
05/01/2020,34
12/01/2020,35
19/01/2020,36
26/01/2020,37
02/02/2020,43
09/02/2020,66
16/02/2020,40
23/02/2020,38
01/03/2020,39
08/03/2020,38
15/03/2020,40
22/03/2020,42
29/03/2020,49
05/04/2020,58
12/04/2020,56
19/04/2020,60
26/04/2020,69
03/05/2020,100
10/05/2020,71
17/05/2020,65
24/05/2020,61
31/05/2020,55
07/06/2020,54
14/06/2020,53
21/06/2020,50
28/06/2020,50
05/07/2020,48
12/07/2020,49
19/07/2020,49
26/07/2020,47
02/08/2020,47
09/08/2020,47
16/08/2020,46
23/08/2020,45
30/08/2020,46
06/09/2020,46
13/09/2020,44
20/09/2020,43
27/09/2020,41
04/10/2020,42
11/10/2020,39
18/10/2020,39
25/10/2020,38
01/11/2020,34
08/11/2020,40
15/11/2020,38
22/11/2020,37
29/11/2020,37
06/12/2020,38
13/12/2020,40
20/12/2020,37
27/12/2020,36
03/01/2021,38
10/01/2021,41
17/01/2021,42
24/01/2021,43
31/01/2021,48
07/02/2021,63
14/02/2021,52
21/02/2021,46
28/02/2021,49
07/03/2021,55
14/03/2021,47
21/03/2021,49
28/03/2021,49
04/04/2021,49
11/04/2021,51
18/04/2021,51
25/04/2021,54
02/05/2021,74
09/05/2021,60
16/05/2021,50
23/05/2021,49
30/05/2021,48
06/06/2021,48
13/06/2021,46
20/06/2021,45
27/06/2021,43
04/07/2021,44
11/07/2021,43
18/07/2021,44
25/07/2021,43
01/08/2021,43
08/08/2021,41
15/08/2021,42
22/08/2021,42
29/08/2021,40
05/09/2021,42
12/09/2021,41
19/09/2021,41
26/09/2021,41
03/10/2021,34
10/10/2021,32
17/10/2021,31
24/10/2021,30
31/10/2021,31
07/11/2021,31
14/11/2021,32
21/11/2021,27
28/11/2021,28
05/12/2021,30
